Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Employee,,,,2021-01-10 21:11:58,2021-01-10 21:12:13,14.424s,FAILED
,,,,,,,
Test Cases/Employee/TC01_Save_Employee,,,,2021-01-10 21:12:00,2021-01-10 21:12:03,3.084s,PASSED
"Response = sendRequest(findTestObject(""Employee/M01_POST_Save_Employee""))",,,,2021-01-10 21:12:00,2021-01-10 21:12:02,1.767s,PASSED
"sendRequestAndVerify(findTestObject(""Employee/M01_POST_Save_Employee""))",,,,2021-01-10 21:12:02,2021-01-10 21:12:03,0.764s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2021-01-10 21:12:03,2021-01-10 21:12:03,0.025s,PASSED
"verifyElementPropertyValue(Response, ""success"", ""Successfully Saved"")",,,,2021-01-10 21:12:03,2021-01-10 21:12:03,0.086s,PASSED
,,,,,,,
Test Cases/Employee/TC02_Employee_Detail,,,,2021-01-10 21:12:03,2021-01-10 21:12:04,1.401s,PASSED
"Response = sendRequest(findTestObject(""Employee/M02_GET_Employee_Detail""))",,,,2021-01-10 21:12:03,2021-01-10 21:12:04,0.580s,PASSED
"sendRequestAndVerify(findTestObject(""Employee/M02_GET_Employee_Detail""))",,,,2021-01-10 21:12:04,2021-01-10 21:12:04,0.528s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2021-01-10 21:12:04,2021-01-10 21:12:04,0.003s,PASSED
"verifyElementPropertyValue(Response, ""data.employeeId"", ""7"")",,,,2021-01-10 21:12:04,2021-01-10 21:12:04,0.018s,PASSED
,,,,,,,
Test Cases/Employee/TC03_Update_Employee_Detail,,,,2021-01-10 21:12:04,2021-01-10 21:12:05,1.026s,PASSED
"Response = sendRequest(findTestObject(""Employee/M03_UPDATE_Employee_Detail""))",,,,2021-01-10 21:12:04,2021-01-10 21:12:05,0.348s,PASSED
"sendRequestAndVerify(findTestObject(""Employee/M03_UPDATE_Employee_Detail""))",,,,2021-01-10 21:12:05,2021-01-10 21:12:05,0.490s,PASSED
